;;;;;;;;;;;;;
Bollettino elaborato il 25 marzo 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Porto Tolle - Pradon;;;;;;;;;;;;;
Coordinata X 1765951 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4979312 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione -3 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m ( C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;0.8;1;5;7.4;11.7;15.8;19.3;19.9;15.2;9.2;8.2;2.6;9.7
1995;-1;1.8;2.6;6.5;11.7;14.2;18.9;17.1;12.6;9.7;3.8;2.4;8.4
1996;2.9;0.1;2.1;8;12;15.6;15.6;16.9;12;10.2;7;2.2;8.7
1997;1.8;1.6;3.4;5;12.1;16;16.6;17.3;13.9;10.2;6.2;2.6;8.9
1998;2.1;0.2;2;7.5;11.7;16.1;18.2;17.9;13.7;9.6;4.1;-0.6;8.5
1999;-0.3;-2.3;3.6;7.7;13.3;15.3;17.8;17.9;15.6;11.1;4.1;0;8.6
2000;-3.4;-0.4;3.5;9;13.1;15.7;15.9;17.8;13.9;11.8;6.6;3;8.9
2001;2.8;0.6;6.5;5.8;13.6;14.3;17.9;18.4;11.5;11.6;4;-2.3;8.7
2002;-2.2;2.9;4.1;7.7;12.8;16.7;18.1;17.9;14.3;10.6;8.3;4.4;9.6
2003;0.1;-2.4;3.1;7.1;13.4;19.6;19.3;21.1;13.6;8.6;7.6;2.2;9.4
2004;-0.8;0.2;3.7;8.5;11;15.8;17.8;18.4;14.4;12.8;5.1;3.5;9.2
2005;-0.6;-1.7;3.1;7.6;12.9;16.7;18.8;16.9;15.5;10.9;5.6;0.4;8.8
2006;-0.4;-0.1;3;8.5;12;16.2;19.7;16.6;15.8;11.6;5.8;2.8;9.3
2007;3.1;3;5.7;9.5;13.7;17;17.7;17.4;13.6;10.5;4.2;0.7;9.7
2008;3.1;1.3;4.3;8;12.8;17.1;18.3;18.5;14.1;10.8;5.8;2.3;9.7
2009;0.7;1.1;4.1;9.6;14;16;18.4;19.7;15.9;10.2;7.8;1.2;9.9
2010;0.7;2.1;3.7;8.3;12.9;16.9;19.9;17.8;13.7;9.6;7.6;-0.2;9.4
2011;1.4;1.1;4.2;9.2;13;16.9;17.3;18.6;17.5;9.6;5.1;1;9.6
2012;-1.9;-1.8;3.8;7.6;11.6;17.6;19.5;19.8;15.5;11.2;7.4;0.3;9.2
2013;1.5;0.5;4.6;9.1;12.2;16.2;19.3;18.2;14.9;12.6;7.7;1.2;9.8
2014;4.4;5;5.8;9.4;11.8;16.8;17.5;16.9;14.2;12.2;9.1;4.4;10.6
2015;0.1;2.4;5.2;7.8;13.8;16.3;21;18.8;15.3;11.1;5.5;1.9;9.9
2016;0.2;4.7;5.5;9.2;12.1;16.3;19.5;17.7;16.1;10.6;7;1;10
2017;-1.9;3.1;5.6;8.8;13.1;17.9;19;19.8;14.1;10;5.8;0.3;9.6
2018;2.4;1.7;3.9;10.1;14.8;17.5;19.6;20;16.7;12.2;8.9;1.1;10.7
2019;-0.8;1.4;4;8.4;11.9;18.7;19.7;20.4;15.4;12.6;8.2;2.8;10.2
2020;0.8;2.6;4.7;7.5;12.9;16.6;18.4;19.7;15.3;9.5;6.3;4;9.9
2021;0;3.3;2.4;6.2;11.6;17.7;19.1;17.3;14.9;9.4;7.2;1.7;9.2
2022;-0.1;0.7;1.7;6.6;14.6;18.6;19.5;19.4;14.8;12.6;7.3;5.1;10.1
2023;3.9;1;4.7;7.1;13.6;17.7;20.5;19.3;16.8;13.2;4.9;2.6;10.4
Medio mensile;0.6;1.2;4;8;12.7;16.7;18.6;18.4;14.7;10.9;6.4;1.8;9.5
;;;;;;;;;;;;;
Il valore mensile   il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile   il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale   il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non   disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino elaborato il 25 marzo 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori medi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Porto Tolle - Pradon;;;;;;;;;;;;;
Coordinata X 1765951 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4979312 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione -3 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m ( C) media delle medie;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;4.6;4.7;10.5;11.8;17.2;21;25.3;25.3;19.7;13.4;10.4;5.1;14.1
1995;3;5.8;7.5;11.4;16.6;19.1;24.8;22.1;17.8;14.3;7.7;5.1;12.9
1996;5.3;3.9;6.4;12.7;17.5;21.7;21.8;22.3;16.6;13.9;10;4.8;13.1
1997;4.5;5.6;9.7;10.8;17.7;20.8;22.5;22.8;19.7;14.4;9.2;5.2;13.6
1998;4.6;5.8;8.1;12.3;17.4;22.1;24;24.1;18.7;14;7.5;2;13.4
1999;2.6;3.3;8.6;12.9;18.5;21;23.5;23.3;20.8;14.6;7.1;3.2;13.3
2000;0.4;4.4;8.6;14.1;19.2;22.4;22.1;23.9;19.5;15.3;10.3;5.9;13.8
2001;5.3;5.5;10.7;11.7;19.4;20.7;23.9;24.9;16.8;15.3;7.3;1.5;13.6
2002;1.3;6;9.7;12.4;17.9;22.8;23.4;22.7;18.3;14.8;11.6;6.4;13.9
2003;3.4;2.6;8.5;11.6;19.2;25.4;25;27;18.5;12.7;10.2;5.5;14.1
2004;2.3;3.5;7.7;12.7;15.9;21.5;23.6;23.9;19.5;16.3;9.2;6.4;13.5
2005;2.1;2.9;7.7;12.3;18.2;22.5;24.1;21.7;19.7;13.9;8.2;3.3;13.1
2006;2.5;4;7.4;13.1;17.3;22.1;25.7;21.7;20.7;16;9.8;6;13.9
2007;5.8;7;10.4;15.7;19.6;22.7;24.7;22.9;18.6;14.4;8.5;4.1;14.5
2008;6;5.6;9.2;14;18.4;22.6;24.6;24.3;19;15.7;9.3;5;14.5
2009;3.4;5.2;8.8;14.2;20;21.6;24.4;25.3;20.9;14.6;10.5;4.4;14.4
2010;3;5.6;8;13.5;17.7;21.9;25.4;23;18.7;13.4;10.5;2.8;13.6
2011;3.7;5.2;9;14.9;18.9;21.9;22.9;24.7;22.4;14.3;8.2;4.9;14.2
2012;1.7;2.3;10.4;12.4;17.4;23.3;25.5;25.8;20;15.3;11;3;14
2013;4.1;4.3;8.1;13.6;16.8;21.6;25;23.6;20;15.7;11;4.5;14
2014;7;8.8;10.7;14.4;17.3;22.4;22.3;22.1;18.8;16.3;12.1;6.9;14.9
2015;4.3;6.1;9.5;13.3;18.7;22.5;26.8;24.3;20.1;14.6;9;4.2;14.4
2016;4.2;8.1;9.9;14;16.9;21.3;24.9;23.4;21;14.3;10.3;3.9;14.4
2017;1.9;6.5;10.9;13.9;18.2;23.7;24.6;25.6;18.3;14.6;9.1;3.9;14.3
2018;5.8;4.5;7.4;15.5;19.6;23.1;24.9;25.3;21.3;16.6;11.6;4;15
2019;3.1;6.5;9.7;13;15.4;24.4;25.2;25.2;20;16.7;11.7;6.6;14.8
2020;4.2;7.7;9.5;14;18.5;21.8;24.2;24.9;20.5;13.9;9.6;6.9;14.6
2021;3.7;7.3;8.6;11.5;16.8;24;24.7;23.7;20.3;14;10.5;4.7;14.2
2022;3.7;6.1;7.9;12.1;19.9;24.5;26.3;25;20;17.4;11.5;7.4;15.2
2023;6.8;5.3;10.5;12.5;17.9;23.2;25.8;24.9;22;17.9;9.2;6;15.2
Medio mensile;3.8;5.3;9;13.1;18;22.3;24.4;24;19.6;15;9.7;4.8;14.1
;;;;;;;;;;;;;
Il valore mensile   il valore medio delle medie giornaliere del mese.;;;;;;;;;;;;;
